========== Richiesta 1 ==========
 | Numero misure: 342
 | Istante:   92 | Velocità: 0.591784    0.389063    0.70599      | Energia Cinetica: 33.4755 | Massa: 0   
 | Istante:  238 | Velocità: 0.859858    0.502913    0.0878761    | Energia Cinetica: 28.0837 | Massa: 0   
 | Istante:   20 | Velocità: 0.578177    0.802633    0.146602     | Energia Cinetica: 37.2432 | Massa: 0   
 | Istante:   74 | Velocità: 0.67484     0.665917    0.318034     | Energia Cinetica: 32.2263 | Massa: 0   
 | Istante:   52 | Velocità: 0.671408    0.684825    0.28324      | Energia Cinetica: 35.2511 | Massa: 0   
 | Istante:  159 | Velocità: 0.365176    0.495741    0.787964     | Energia Cinetica: 30.926 | Massa: 0   
 | Istante:  235 | Velocità: 0.506403    0.642378    0.575245     | Energia Cinetica: 39.0862 | Massa: 0   
 | Istante:    7 | Velocità: 0.533587    0.524092    0.663786     | Energia Cinetica: 33.6109 | Massa: 0   
 | Istante:  289 | Velocità: 0.683839    0.0407665   0.728493     | Energia Cinetica: 33.0122 | Massa: 0   
 | Istante:  190 | Velocità: 0.436647    0.87293     0.217558     | Energia Cinetica: 42.5438 | Massa: 0   
 | Istante:  284 | Velocità: 0.766733    0.0935255   0.635117     | Energia Cinetica: 38.1622 | Massa: 0   
 | Istante:  124 | Velocità: 0.798196    0.459073    0.390045     | Energia Cinetica: 38.3347 | Massa: 0   
 | Istante:   63 | Velocità: 0.759301    0.0667102   0.647311     | Energia Cinetica: 43.5619 | Massa: 0   
 | Istante:   56 | Velocità: 0.684048    0.630218    0.367292     | Energia Cinetica: 29.2658 | Massa: 0   
 | Istante:  150 | Velocità: 0.36099     0.694044    0.622887     | Energia Cinetica: 38.3911 | Massa: 0   
 | Istante:  229 | Velocità: 0.39729     0.434893    0.808102     | Energia Cinetica: 35.7305 | Massa: 0   
 | Istante:  145 | Velocità: 0.419439    0.875414    0.240253     | Energia Cinetica: 43.5596 | Massa: 0   
 | Istante:   76 | Velocità: 0.957513    0.129217    0.257821     | Energia Cinetica: 31.466 | Massa: 0   
 | Istante:  337 | Velocità: 0.218985    0.469612    0.855284     | Energia Cinetica: 29.6867 | Massa: 0   
 | Istante:  206 | Velocità: 0.819401    0.101733    0.564121     | Energia Cinetica: 28.1942 | Massa: 0   
 | Istante:  175 | Velocità: 0.259013    0.729843    0.632647     | Energia Cinetica: 41.1793 | Massa: 0   
 | Istante:  320 | Velocità: 0.474768    0.279097    0.834686     | Energia Cinetica: 39.1566 | Massa: 0   
 | Istante:  100 | Velocità: 0.355905    0.746856    0.561728     | Energia Cinetica: 37.1378 | Massa: 0   
 | Istante:   64 | Velocità: 0.829668    0.556871    0.0393085    | Energia Cinetica: 29.0006 | Massa: 0   
 | Istante:   68 | Velocità: 0.202403    0.179315    0.962746     | Energia Cinetica: 40.0722 | Massa: 0   
 | Istante:  126 | Velocità: 0.630335    0.419828    0.65301      | Energia Cinetica: 43.6188 | Massa: 0   
 | Istante:  296 | Velocità: 0.364851    0.0964691   0.926055     | Energia Cinetica: 31.8723 | Massa: 0   
 | Istante:   60 | Velocità: 0.496737    0.835802    0.233852     | Energia Cinetica: 32.4988 | Massa: 0   
 | Istante:  246 | Velocità: 0.737467    0.0193835   0.675105     | Energia Cinetica: 30.8706 | Massa: 0   
 | Istante:  140 | Velocità: 0.81932     0.0242836   0.572821     | Energia Cinetica: 40.8151 | Massa: 0   
 | Istante:  120 | Velocità: 0.318233    0.933931    0.162791     | Energia Cinetica: 34.5567 | Massa: 0   
 | Istante:  312 | Velocità: 0.775718    0.447035    0.445445     | Energia Cinetica: 39.4073 | Massa: 0   
 | Istante:  116 | Velocità: 0.336295    0.460842    0.821298     | Energia Cinetica: 37.5845 | Massa: 0   
 | Istante:   21 | Velocità: 0.721979    0.619543    0.30808      | Energia Cinetica: 39.5147 | Massa: 0   
 | Istante:  122 | Velocità: 0.137751    0.79556     0.590008     | Energia Cinetica: 34.1574 | Massa: 0   
 | Istante:  162 | Velocità: 0.0368731   0.838965    0.542935     | Energia Cinetica: 26.7198 | Massa: 0   
 | Istante:  137 | Velocità: 0.743329    0.227161    0.629175     | Energia Cinetica: 34.5301 | Massa: 0   
 | Istante:   49 | Velocità: 0.548419    0.736702    0.395609     | Energia Cinetica: 33.1992 | Massa: 0   
 | Istante:  141 | Velocità: 0.207005    0.41464     0.886128     | Energia Cinetica: 32.5981 | Massa: 0   
 | Istante:  156 | Velocità: 0.725838    0.687174    0.0308308    | Energia Cinetica: 45.5913 | Massa: 0   
 | Istante:   78 | Velocità: 0.631215    0.372371    0.680372     | Energia Cinetica: 42.0629 | Massa: 0   
 | Istante:  232 | Velocità: 0.423171    0.758965    0.494872     | Energia Cinetica: 33.6889 | Massa: 0   
 | Istante:   22 | Velocità: 0.686666    0.681127    0.254078     | Energia Cinetica: 41.2795 | Massa: 0   
 | Istante:  275 | Velocità: 0.684745    0.41783     0.597112     | Energia Cinetica: 24.6984 | Massa: 0   
 | Istante:  136 | Velocità: 0.161527    0.909289    0.38354      | Energia Cinetica: 34.4133 | Massa: 0   
 | Istante:   66 | Velocità: 0.22515     0.513966    0.827736     | Energia Cinetica: 32.597 | Massa: 0   
 | Istante:  233 | Velocità: 0.66953     0.690108    0.274738     | Energia Cinetica: 30.4893 | Massa: 0   
 | Istante:   12 | Velocità: 0.421361    0.785307    0.453594     | Energia Cinetica: 37.2587 | Massa: 0   
 | Istante:  283 | Velocità: 0.68088     0.656589    0.324489     | Energia Cinetica: 22.297 | Massa: 0   
 | Istante:  135 | Velocità: 0.362835    0.855632    0.369112     | Energia Cinetica: 45.527 | Massa: 0   
 | Istante:   17 | Velocità: 0.759049    0.555066    0.340215     | Energia Cinetica: 36.2106 | Massa: 0   
 | Istante:  241 | Velocità: 0.295668    0.202089    0.93367      | Energia Cinetica: 36.6043 | Massa: 0   
 | Istante:  103 | Velocità: 0.380954    0.496708    0.779843     | Energia Cinetica: 35.1809 | Massa: 0   
 | Istante:  271 | Velocità: 0.784884    0.500652    0.365109     | Energia Cinetica: 40.7478 | Massa: 0   
 | Istante:  250 | Velocità: 0.621834    0.371881    0.689222     | Energia Cinetica: 41.2688 | Massa: 0   
 | Istante:   89 | Velocità: 0.378367    0.0352894   0.924983     | Energia Cinetica: 38.4944 | Massa: 0   
 | Istante:  240 | Velocità: 0.362109    0.757629    0.543024     | Energia Cinetica: 38.2561 | Massa: 0   
 | Istante:  170 | Velocità: 0.95564     0.113333    0.271861     | Energia Cinetica: 27.784 | Massa: 0   
 | Istante:  306 | Velocità: 0.106574    0.993906    0.0281685    | Energia Cinetica: 33.938 | Massa: 0   
 | Istante:  101 | Velocità: 0.880509    0.181352    0.437967     | Energia Cinetica: 32.8752 | Massa: 0   
 | Istante:  153 | Velocità: 0.282654    0.507205    0.814156     | Energia Cinetica: 40.4986 | Massa: 0   
 | Istante:  341 | Velocità: 0.701349    0.189977    0.687036     | Energia Cinetica: 37.1047 | Massa: 0   
 | Istante:   81 | Velocità: 0.205844    0.978536    0.00972403   | Energia Cinetica: 37.1116 | Massa: 0   
 | Istante:    1 | Velocità: 0.360459    0.0910129   0.928324     | Energia Cinetica: 32.1782 | Massa: 0   
 | Istante:  171 | Velocità: 0.854364    0.258347    0.450909     | Energia Cinetica: 42.7704 | Massa: 0   
 | Istante:    8 | Velocità: 0.993877    0.102709    0.0407416    | Energia Cinetica: 19.6629 | Massa: 0   
 | Istante:  237 | Velocità: 0.684529    0.648516    0.332938     | Energia Cinetica: 34.5184 | Massa: 0   
 | Istante:  213 | Velocità: 0.712691    0.0410607   0.700275     | Energia Cinetica: 41.2683 | Massa: 0   
 | Istante:  133 | Velocità: 0.512862    0.484763    0.708504     | Energia Cinetica: 29.9727 | Massa: 0   
 | Istante:  264 | Velocità: 0.26761     0.705218    0.656546     | Energia Cinetica: 41.886 | Massa: 0   
 | Istante:  307 | Velocità: 0.295687    0.750834    0.590608     | Energia Cinetica: 39.6726 | Massa: 0   
 | Istante:  176 | Velocità: 0.126879    0.990937    0.0441148    | Energia Cinetica: 24.0586 | Massa: 0   
 | Istante:  248 | Velocità: 0.62102     0.476348    0.622436     | Energia Cinetica: 38.1714 | Massa: 0   
 | Istante:  221 | Velocità: 0.715235    0.628762    0.305118     | Energia Cinetica: 38.7945 | Massa: 0   
 | Istante:    5 | Velocità: 0.890365    0.455019    0.0144007    | Energia Cinetica: 28.3405 | Massa: 0   
 | Istante:   33 | Velocità: 0.375191    0.0559576   0.925257     | Energia Cinetica: 36.38  | Massa: 0   
 | Istante:  321 | Velocità: 0.679007    0.688464    0.254884     | Energia Cinetica: 33.1009 | Massa: 0   
 | Istante:  106 | Velocità: 0.576429    0.13453     0.805997     | Energia Cinetica: 44.4496 | Massa: 0   
 | Istante:   34 | Velocità: 0.709962    0.293246    0.640282     | Energia Cinetica: 30.7572 | Massa: 0   
 | Istante:  308 | Velocità: 0.779623    0.492252    0.387139     | Energia Cinetica: 38.8595 | Massa: 0   
 | Istante:   97 | Velocità: 0.726932    0.287474    0.623641     | Energia Cinetica: 34.5572 | Massa: 0   
 | Istante:   85 | Velocità: 0.514206    0.0975221   0.852104     | Energia Cinetica: 34.2266 | Massa: 0   
 | Istante:  204 | Velocità: 0.531657    0.313284    0.786889     | Energia Cinetica: 39.1723 | Massa: 0   
 | Istante:  210 | Velocità: 0.633535    0.186117    0.750995     | Energia Cinetica: 43.1846 | Massa: 0   
 | Istante:  158 | Velocità: 0.816169    0.508512    0.274378     | Energia Cinetica: 38.3483 | Massa: 0   
 | Istante:   45 | Velocità: 0.375601    0.375898    0.847127     | Energia Cinetica: 38.1132 | Massa: 0   
 | Istante:  134 | Velocità: 0.860681    0.039211    0.507632     | Energia Cinetica: 45.4009 | Massa: 0   
 | Istante:  220 | Velocità: 0.382971    0.701622    0.600883     | Energia Cinetica: 40.9212 | Massa: 0   
 | Istante:  311 | Velocità: 0.617521    0.717496    0.322284     | Energia Cinetica: 30.6296 | Massa: 0   
 | Istante:  236 | Velocità: 0.448225    0.643002    0.621001     | Energia Cinetica: 39.7039 | Massa: 0   
 | Istante:  234 | Velocità: 0.81101     0.542852    0.218115     | Energia Cinetica: 36.8644 | Massa: 0   
 | Istante:  108 | Velocità: 0.394318    0.878126    0.270938     | Energia Cinetica: 28.8245 | Massa: 0   
 | Istante:  230 | Velocità: 0.0647808   0.596275    0.800163     | Energia Cinetica: 32.4841 | Massa: 0   
 | Istante:   90 | Velocità: 0.0377627   0.420297    0.906601     | Energia Cinetica: 39.9209 | Massa: 0   
 | Istante:   46 | Velocità: 0.404225    0.265825    0.87518      | Energia Cinetica: 38.7506 | Massa: 0   
 | Istante:  269 | Velocità: 0.00232853  0.810229    0.586108     | Energia Cinetica: 42.7477 | Massa: 0   
 | Istante:  331 | Velocità: 0.993432    0.109551    0.0330528    | Energia Cinetica: 37.0415 | Massa: 0   
 | Istante:  226 | Velocità: 0.660099    0.557985    0.502914     | Energia Cinetica: 38.3046 | Massa: 0   
 | Istante:   73 | Velocità: 0.456583    0.601516    0.655523     | Energia Cinetica: 43.4189 | Massa: 0   
 | Istante:  334 | Velocità: 0.878706    0.163605    0.448453     | Energia Cinetica: 30.4012 | Massa: 0   
 | Istante:  324 | Velocità: 0.116959    0.462849    0.878687     | Energia Cinetica: 42.9363 | Massa: 0   
 | Istante:  142 | Velocità: 0.950463    0.202819    0.235552     | Energia Cinetica: 31.9413 | Massa: 0   
 | Istante:  144 | Velocità: 0.145777    0.598019    0.788113     | Energia Cinetica: 36.9767 | Massa: 0   
 | Istante:   29 | Velocità: 0.88464     0.194694    0.423682     | Energia Cinetica: 32.0663 | Massa: 0   
 | Istante:  214 | Velocità: 0.557942    0.508894    0.655537     | Energia Cinetica: 33.8623 | Massa: 0   
 | Istante:  278 | Velocità: 0.108886    0.152084    0.982351     | Energia Cinetica: 36.2461 | Massa: 0   
 | Istante:   27 | Velocità: 0.855104    0.0365472   0.517166     | Energia Cinetica: 38.5739 | Massa: 0   
 | Istante:  198 | Velocità: 0.45361     0.489251    0.744897     | Energia Cinetica: 40.9584 | Massa: 0   
 | Istante:  299 | Velocità: 0.574278    0.421233    0.701974     | Energia Cinetica: 37.0519 | Massa: 0   
 | Istante:  146 | Velocità: 0.779127    0.139921    0.611051     | Energia Cinetica: 35.6824 | Massa: 0   
 | Istante:  164 | Velocità: 0.0278323   0.723123    0.690158     | Energia Cinetica: 30.5752 | Massa: 0   
 | Istante:  173 | Velocità: 0.677474    0.260904    0.687719     | Energia Cinetica: 36.1476 | Massa: 0   
 | Istante:  212 | Velocità: 0.817558    0.125218    0.562066     | Energia Cinetica: 28.3797 | Massa: 0   
 | Istante:  218 | Velocità: 0.198447    0.629723    0.751044     | Energia Cinetica: 38.6474 | Massa: 0   
 | Istante:   35 | Velocità: 0.363405    0.717375    0.594399     | Energia Cinetica: 33.2811 | Massa: 0   
 | Istante:  260 | Velocità: 0.893654    0.298942    0.334689     | Energia Cinetica: 38.8445 | Massa: 0   
 | Istante:  305 | Velocità: 0.980654    0.0461303   0.190235     | Energia Cinetica: 24.4144 | Massa: 0   
 | Istante:  200 | Velocità: 0.245171    0.693237    0.677727     | Energia Cinetica: 37.9503 | Massa: 0   
 | Istante:  199 | Velocità: 0.586991    0.535134    0.607514     | Energia Cinetica: 33.831 | Massa: 0   
 | Istante:   44 | Velocità: 0.526047    0.803575    0.278463     | Energia Cinetica: 35.346 | Massa: 0   
 | Istante:  168 | Velocità: 0.0817863   0.435222    0.896601     | Energia Cinetica: 32.1604 | Massa: 0   
 | Istante:  129 | Velocità: 0.727856    0.57113     0.37952      | Energia Cinetica: 41.3601 | Massa: 0   
 | Istante:   93 | Velocità: 0.39927     0.868391    0.294075     | Energia Cinetica: 36.372 | Massa: 0   
 | Istante:  111 | Velocità: 0.663492    0.72964     0.165542     | Energia Cinetica: 36.2054 | Massa: 0   
 | Istante:  216 | Velocità: 0.828888    0.550975    0.0968032    | Energia Cinetica: 43.3328 | Massa: 0   
 | Istante:  338 | Velocità: 0.487664    0.258404    0.833913     | Energia Cinetica: 32.371 | Massa: 0   
 | Istante:   18 | Velocità: 0.463202    0.762505    0.451697     | Energia Cinetica: 32.9064 | Massa: 0   
 | Istante:  224 | Velocità: 0.108295    0.639327    0.76127      | Energia Cinetica: 36.4457 | Massa: 0   
 | Istante:   79 | Velocità: 0.19676     0.777239    0.597649     | Energia Cinetica: 39.4598 | Massa: 0   
 | Istante:  266 | Velocità: 0.342089    0.732475    0.588606     | Energia Cinetica: 29.7236 | Massa: 0   
 | Istante:   71 | Velocità: 0.616792    0.204983    0.759967     | Energia Cinetica: 41.6379 | Massa: 0   
 | Istante:  194 | Velocità: 0.41142     0.287105    0.865046     | Energia Cinetica: 36.2002 | Massa: 0   
 | Istante:  286 | Velocità: 0.837198    0.431436    0.336098     | Energia Cinetica: 42.4096 | Massa: 0   
 | Istante:  328 | Velocità: 0.567112    0.256156    0.782795     | Energia Cinetica: 33.648 | Massa: 0   
 | Istante:  263 | Velocità: 0.732751    0.576062    0.362255     | Energia Cinetica: 39.0956 | Massa: 0   
 | Istante:  160 | Velocità: 0.694337    0.556359    0.456466     | Energia Cinetica: 30.5073 | Massa: 0   
 | Istante:  217 | Velocità: 0.126452    0.840644    0.526618     | Energia Cinetica: 35.9492 | Massa: 0   
 | Istante:  161 | Velocità: 0.076334    0.295537    0.952277     | Energia Cinetica: 38.6865 | Massa: 0   
 | Istante:   83 | Velocità: 0.298771    0.867712    0.397256     | Energia Cinetica: 42.097 | Massa: 0   
 | Istante:  339 | Velocità: 0.489435    0.0791767   0.868438     | Energia Cinetica: 33.2025 | Massa: 0   
 | Istante:  118 | Velocità: 0.837821    0.545848    0.0102635    | Energia Cinetica: 38.0897 | Massa: 0   
 | Istante:  310 | Velocità: 0.600096    0.71099     0.366578     | Energia Cinetica: 32.4154 | Massa: 0   
 | Istante:  319 | Velocità: 0.723651    0.499959    0.475784     | Energia Cinetica: 33.799 | Massa: 0   
 | Istante:  110 | Velocità: 0.0554771   0.772485    0.632605     | Energia Cinetica: 35.6004 | Massa: 0   
 | Istante:  336 | Velocità: 0.87907     0.450679    0.155318     | Energia Cinetica: 48.7485 | Massa: 0   
 | Istante:  157 | Velocità: 0.671659    0.688351    0.273946     | Energia Cinetica: 33.0591 | Massa: 0   
 | Istante:  152 | Velocità: 0.761573    0.446533    0.469697     | Energia Cinetica: 33.444 | Massa: 0   
 | Istante:   16 | Velocità: 0.213374    0.515836    0.829689     | Energia Cinetica: 34.261 | Massa: 0   
 | Istante:   75 | Velocità: 0.750846    0.0305596   0.65977      | Energia Cinetica: 32.5931 | Massa: 0   
 | Istante:  109 | Velocità: 0.400284    0.607724    0.685889     | Energia Cinetica: 39.6034 | Massa: 0   
 | Istante:  239 | Velocità: 0.236398    0.138362    0.961755     | Energia Cinetica: 39.9759 | Massa: 0   
 | Istante:  219 | Velocità: 0.528563    0.292725    0.796827     | Energia Cinetica: 37.8043 | Massa: 0   
 | Istante:  139 | Velocità: 0.363042    0.104522    0.925892     | Energia Cinetica: 34.3841 | Massa: 0   
 | Istante:    4 | Velocità: 0.270684    0.864902    0.422699     | Energia Cinetica: 27.9237 | Massa: 0   
 | Istante:   96 | Velocità: 0.853318    0.0426887   0.519641     | Energia Cinetica: 26.2514 | Massa: 0   
 | Istante:  225 | Velocità: 0.669403    0.59492     0.444938     | Energia Cinetica: 33.3499 | Massa: 0   
 | Istante:   61 | Velocità: 0.717736    0.502845    0.481665     | Energia Cinetica: 35.1473 | Massa: 0   
 | Istante:   67 | Velocità: 0.807317    0.539446    0.239243     | Energia Cinetica: 40.0703 | Massa: 0   
 | Istante:  270 | Velocità: 0.881944    0.116389    0.456759     | Energia Cinetica: 35.2096 | Massa: 0   
 | Istante:  154 | Velocità: 0.669067    0.513857    0.536935     | Energia Cinetica: 34.8079 | Massa: 0   
 | Istante:  191 | Velocità: 0.676142    0.0493784   0.735115     | Energia Cinetica: 42.4071 | Massa: 0   
 | Istante:  261 | Velocità: 0.0331593   0.998978    0.0307156    | Energia Cinetica: 42.8763 | Massa: 0   
 | Istante:  208 | Velocità: 0.20078     0.969981    0.137205     | Energia Cinetica: 43.103 | Massa: 0   
 | Istante:  318 | Velocità: 0.597496    0.775309    0.204681     | Energia Cinetica: 33.2136 | Massa: 0   
 | Istante:   40 | Velocità: 0.596282    0.721219    0.352548     | Energia Cinetica: 34.7198 | Massa: 0   
 | Istante:  253 | Velocità: 0.952092    0.259041    0.162536     | Energia Cinetica: 40.5902 | Massa: 0   
 | Istante:   13 | Velocità: 0.628031    0.776612    0.0495138    | Energia Cinetica: 34.512 | Massa: 0   
 | Istante:  107 | Velocità: 0.405093    0.542438    0.735976     | Energia Cinetica: 32.7315 | Massa: 0   
 | Istante:  259 | Velocità: 0.25604     0.774325    0.578675     | Energia Cinetica: 33.7525 | Massa: 0   
 | Istante:    3 | Velocità: 0.598193    0.527837    0.602954     | Energia Cinetica: 38.0536 | Massa: 0   
 | Istante:  215 | Velocità: 0.797118    0.471644    0.377034     | Energia Cinetica: 40.8309 | Massa: 0   
 | Istante:  125 | Velocità: 0.270428    0.486408    0.830829     | Energia Cinetica: 35.8172 | Massa: 0   
 | Istante:   24 | Velocità: 0.590039    0.0464529   0.806037     | Energia Cinetica: 30.5887 | Massa: 0   
 | Istante:   30 | Velocità: 0.249881    0.801097    0.543877     | Energia Cinetica: 32.8971 | Massa: 0   
 | Istante:   77 | Velocità: 0.752619    0.61705     0.229811     | Energia Cinetica: 41.4691 | Massa: 0   
 | Istante:  188 | Velocità: 0.309597    0.41421     0.855909     | Energia Cinetica: 33.6893 | Massa: 0   
 | Istante:  184 | Velocità: 0.843065    0.499619    0.199055     | Energia Cinetica: 36.8803 | Massa: 0   
 | Istante:  316 | Velocità: 0.451759    0.41661     0.788892     | Energia Cinetica: 40.6178 | Massa: 0   
 | Istante:  255 | Velocità: 0.392165    0.0670041   0.917451     | Energia Cinetica: 35.9104 | Massa: 0   
 | Istante:  252 | Velocità: 0.798867    0.443482    0.406369     | Energia Cinetica: 43.4507 | Massa: 0   
 | Istante:   19 | Velocità: 0.30788     0.282324    0.908572     | Energia Cinetica: 32.795 | Massa: 0   
 | Istante:  291 | Velocità: 0.214563    0.867889    0.44803      | Energia Cinetica: 42.3302 | Massa: 0   
 | Istante:  293 | Velocità: 0.593568    0.502144    0.628911     | Energia Cinetica: 37.1947 | Massa: 0   
 | Istante:  182 | Velocità: 0.969634    0.0922889   0.226479     | Energia Cinetica: 31.2371 | Massa: 0   
 | Istante:  303 | Velocità: 0.640853    0.704927    0.303948     | Energia Cinetica: 35.7913 | Massa: 0   
 | Istante:   80 | Velocità: 0.156183    0.632742    0.758449     | Energia Cinetica: 27.7564 | Massa: 0   
 | Istante:   51 | Velocità: 0.535773    0.709386    0.457951     | Energia Cinetica: 43.6057 | Massa: 0   
 | Istante:    2 | Velocità: 0.651691    0.250672    0.715865     | Energia Cinetica: 39.0552 | Massa: 0   
 | Istante:   11 | Velocità: 0.617262    0.531931    0.579687     | Energia Cinetica: 33.7313 | Massa: 0   
 | Istante:  104 | Velocità: 0.723839    0.629255    0.283011     | Energia Cinetica: 39.1347 | Massa: 0   
 | Istante:  245 | Velocità: 0.541542    0.540344    0.64402      | Energia Cinetica: 40.0261 | Massa: 0   
 | Istante:   86 | Velocità: 0.918894    0.169657    0.35616      | Energia Cinetica: 44.9916 | Massa: 0   
 | Istante:   10 | Velocità: 0.736487    0.334128    0.588172     | Energia Cinetica: 28.5612 | Massa: 0   
 | Istante:   36 | Velocità: 0.4074      0.605298    0.683842     | Energia Cinetica: 40.484 | Massa: 0   
 | Istante:  325 | Velocità: 0.858253    0.511515    0.04187      | Energia Cinetica: 36.8968 | Massa: 0   
 | Istante:   58 | Velocità: 0.0482157   0.701392    0.711143     | Energia Cinetica: 34.7413 | Massa: 0   
 | Istante:   41 | Velocità: 0.051708    0.878363    0.47519      | Energia Cinetica: 36.008 | Massa: 0   
 | Istante:   14 | Velocità: 0.349819    0.905681    0.239516     | Energia Cinetica: 35.8298 | Massa: 0   
 | Istante:  155 | Velocità: 0.451799    0.0958111   0.88696      | Energia Cinetica: 32.5281 | Massa: 0   
 | Istante:   50 | Velocità: 0.746348    0.664478    0.0378598    | Energia Cinetica: 33.8673 | Massa: 0   
 | Istante:  209 | Velocità: 0.506857    0.725585    0.465426     | Energia Cinetica: 32.8902 | Massa: 0   
 | Istante:  268 | Velocità: 0.709585    0.669192    0.220617     | Energia Cinetica: 46.9473 | Massa: 0   
 | Istante:  282 | Velocità: 0.312695    0.280681    0.907436     | Energia Cinetica: 32.0551 | Massa: 0   
 | Istante:  322 | Velocità: 0.0540776   0.892447    0.4479       | Energia Cinetica: 32.254 | Massa: 0   
 | Istante:  281 | Velocità: 0.79662     0.60385     0.0275835    | Energia Cinetica: 31.4948 | Massa: 0   
 | Istante:  335 | Velocità: 0.142295    0.189867    0.971444     | Energia Cinetica: 40.5374 | Massa: 0   
 | Istante:  123 | Velocità: 0.386134    0.769564    0.508597     | Energia Cinetica: 36.9855 | Massa: 0   
 | Istante:  222 | Velocità: 0.249666    0.318968    0.91429      | Energia Cinetica: 38.9576 | Massa: 0   
 | Istante:  274 | Velocità: 0.819297    0.566733    0.0869824    | Energia Cinetica: 32.2308 | Massa: 0   
 | Istante:   62 | Velocità: 0.798724    0.198878    0.567879     | Energia Cinetica: 33.2019 | Massa: 0   
 | Istante:  258 | Velocità: 0.864122    0.356433    0.355316     | Energia Cinetica: 38.4773 | Massa: 0   
 | Istante:  332 | Velocità: 0.919996    0.204995    0.334043     | Energia Cinetica: 34.546 | Massa: 0   
 | Istante:  130 | Velocità: 0.877567    0.349498    0.328217     | Energia Cinetica: 24.162 | Massa: 0   
 | Istante:  187 | Velocità: 0.338367    0.366573    0.866679     | Energia Cinetica: 32.6438 | Massa: 0   
 | Istante:   23 | Velocità: 0.586942    0.0150119   0.80949      | Energia Cinetica: 39.9199 | Massa: 0   
 | Istante:  249 | Velocità: 0.790244    0.102819    0.604104     | Energia Cinetica: 30.6066 | Massa: 0   
 | Istante:  186 | Velocità: 0.392055    0.824455    0.408126     | Energia Cinetica: 42.7159 | Massa: 0   
 | Istante:   43 | Velocità: 0.0503219   0.648553    0.759505     | Energia Cinetica: 41.3355 | Massa: 0   
 | Istante:  114 | Velocità: 0.85124     0.408408    0.329535     | Energia Cinetica: 38.2751 | Massa: 0   
